date,adj_close,close,high,low,open,volume,ticker
2024-01-02,344.16827392578125,346.2900085449219,353.1600036621094,340.010009765625,351.32000732421875,19042200,META
2024-01-03,342.3594970703125,344.4700012207031,347.95001220703125,343.17999267578125,344.9800109863281,15451100,META
2024-01-04,344.9932556152344,347.1199951171875,348.1499938964844,343.3999938964844,344.5,12099900,META
2024-01-05,349.7935791015625,351.95001220703125,353.5,346.260009765625,346.989990234375,13920700,META
2024-01-08,356.4625244140625,358.6600036621094,358.9800109863281,352.04998779296875,354.70001220703125,13890200,META
2024-01-09,355.2400817871094,357.42999267578125,360.6400146484375,355.3599853515625,356.3999938964844,13463900,META
2024-01-10,368.2001953125,370.4700012207031,372.94000244140625,359.0799865722656,360.1700134277344,22117200,META
2024-01-11,367.4051208496094,369.6700134277344,372.7799987792969,362.92999267578125,372.1300048828125,17205400,META
2024-01-12,372.19549560546875,374.489990234375,377.05999755859375,369.5400085449219,370.1600036621094,19310000,META
2024-01-16,365.20855712890625,367.4599914550781,375.6099853515625,367.2300109863281,373.6499938964844,15306900,META
2024-01-17,366.1130065917969,368.3699951171875,368.5400085449219,358.6099853515625,366.29998779296875,12724800,META
2024-01-18,373.825439453125,376.1300048828125,376.8500061035156,370.95001220703125,371.489990234375,16354300,META
2024-01-19,381.1006164550781,383.45001220703125,384.3599853515625,377.9700012207031,379.0,21670800,META
2024-01-22,379.44085693359375,381.7799987792969,390.3500061035156,381.1600036621094,387.95001220703125,17680500,META
2024-01-23,382.83990478515625,385.20001220703125,388.3800048828125,382.0799865722656,384.6199951171875,15506100,META
2024-01-24,388.30621337890625,390.70001220703125,396.1499938964844,387.80999755859375,390.0,15698500,META
2024-01-25,390.7709655761719,393.17999267578125,395.489990234375,385.6600036621094,390.1700134277344,15091100,META
2024-01-26,391.72515869140625,394.1400146484375,396.7900085449219,391.5899963378906,394.3500061035156,13163700,META
2024-01-29,398.56298828125,401.0199890136719,402.92999267578125,393.1000061035156,394.989990234375,18742400,META
2024-01-30,397.6088562011719,400.05999755859375,406.3599853515625,399.57000732421875,403.5899963378906,18614700,META
